,institution,major,degree,season,decisionfin,method,decdate,decdate_ts,gpa,grev,greq,greaw,status,date_add,date_add_ts,comment
0,University of Michigan (Ann Arbor),Aerospace Engineering,PhD,Fall 2023,Accepted,,03-01-2023,1672675200,4.0,,,,American,25-01-2023,1674576000,
1,Stanford University,Aerospace Engineering,PhD,Fall 2023,Interview,,,,,,,,International,25-01-2023,1674576000,
2,Purdue University - West Lafayette,Aerospace Engineering,PhD,Fall 2023,Accepted,,24-01-2023,1674489600,,,,,International,24-01-2023,1674489600,Received a mail notifying an update on my app status. Had had an interview with a potential PI a few weeks ago.
3,Penn State University,Aerospace Engineering,PhD,Fall 2023,Accepted,,21-12-2023,1703088000,3.27,149.0,161.0,3.0,International,24-01-2023,1674489600,"Unofficial admission by email: 2022.12.21,  official admission letter in a portal (got an email to check the status page): 2023.1.12, official admission letter with funding information (for 9 months) by email: 2023.1.18, failed contact to faculty members before application, no interview, first author for 1 SCI and 1 domestic paper, etc. Hope this information helps and good luck to everyone!"
4,Stanford University,Aerospace Engineering,PhD,Fall 2023,Interview,,,,,,,,International,24-01-2023,1674489600,
5,University of Michigan (Ann Arbor),Aerospace Engineering,PhD,Fall 2023,Accepted,,20-01-2023,1674144000,3.5,,,,International,20-01-2023,1674144000,"Got a email from the graduate coordinator at about 9pm. If it helps, I reached out to faculty before applying. GPA is from aero UG, and I have a thesis-based mech MS. 4-5 years of research experience. This is my top choice - absolute bonkers!!!!!!"
6,University Of Texas At Austin,Aerospace Engineering,PhD,Fall 2023,Accepted,,18-01-2023,1673971200,3.7,155.0,170.0,5.5,American,20-01-2023,1674144000,
7,Purdue University - West Lafayette,Aerospace Engineering,PhD,Fall 2023,Accepted,,19-01-2023,1674057600,3.98,165.0,170.0,5.0,International,20-01-2023,1674144000,
8,Georgia Institute Of Technology,Aerospace Engineering,PhD,Fall 2023,Interview,,,,3.76,,,,International,17-01-2023,1673884800,
9,"University of Colorado, Boulder",Aerospace Engineering,PhD,Fall 2023,Accepted,,04-01-2023,1672761600,3.5,,,,International,06-01-2023,1672934400,"GPA is undergrad (aero), have a thesis masters (mech) with a 3.75 CGPA. Notified by PI, official email from department to come later."
10,University Of Texas At Austin,Aerospace Engineering,PhD,Fall 2023,Interview,,,,3.7,155.0,170.0,5.5,American,04-01-2023,1672761600,Interview request by potential PI mentioned in the SOP
11,Penn State University,Aerospace Engineering,PhD,Fall 2022,Accepted,,21-12-2022,1671552000,3.64,,,,International,23-12-2022,1671724800,Unofficial acceptance. What a fantastic holiday gift! yay! (Fall 2023)
12,Penn State University,Aerospace Engineering,PhD,Fall 2022,Accepted,,22-12-2022,1671638400,3.5,,,,International,22-12-2022,1671638400,"Received unofficial acceptance email a couple of days ago, but it was nice to see the official one today. Note: admission is for Fall 2023"
13,University Of Notre Dame,Aerospace And Mechanical Engineering,PhD,Fall 2022,Rejected,,29-04-2022,1651161600,4.0,,,,International,29-04-2022,1651161600,"10 Publications, above 100 citations, 2 masters, got interviewed in early Jan., got the rejection today :D!! GOOD LUCK TO OTHERS!"
14,"University of Colorado, Boulder",Aerospace Engineering,PhD,Fall 2022,Rejected,,30-03-2022,1648569600,,,,,International,27-04-2022,1650988800,"Very sad about this one. No GRE this year. One workshop publication as first name, another publication under review, 3 years research experience. Was invited to the open day and had very good meetings with PIs. Was informed by email by one of the PIs that they couldn't offer me a PhD position, but that they wanted to. Will try again next year, congrats to all accepted"
15,University of Michigan (Ann Arbor),Aerospace Engineering,PhD,Fall 2022,Rejected,,18-04-2022,1650211200,3.5,166.0,163.0,5.0,International,21-04-2022,1650470400,"4 years research experience with papers and presentations. I have a Masters. Reached out to professors before applying but didnâ€™t get a positive response. I really liked this school so I applied anyway, but the rejection was expected. Their rejection email was so thoughtful, though."
16,University of Michigan (Ann Arbor),Aerospace Engineering,PhD,Fall 2022,Rejected,,16-04-2022,1650038400,4.0,,,,International,18-04-2022,1650211200,General rejection email.
17,University Of Central Florida,Aerospace Engineering,PhD,Fall 2022,Rejected,,14-04-2022,1649865600,3.85,156.0,161.0,4.0,International,16-04-2022,1650038400,
18,"University Of California, Los Angeles",Aerospace Engineering,PhD,Fall 2022,Accepted,,12-04-2022,1649692800,,,,,American,13-04-2022,1649779200,
19,"University of Colorado, Boulder",Aerospace Engineering,PhD,Fall 2022,Rejected,,13-04-2022,1649779200,3.4,158.0,160.0,3.0,International,13-04-2022,1649779200,"Email to visit Application Status page. It was not m top priority but it would be nice. 1 year related research (final work on undergrad), 1 conference publication, TA related experience."
20,Texas A&M University - College Station (TAMU),Aerospace Engineering,PhD,Fall 2022,Wait listed,,,,,,,,International,13-04-2022,1649779200,"Ignore Waitilist. I've been ghosted by this program. No results, no email answers. Any accepted for PhD Fall 2022?"
21,University Of Texas At Austin,Aerospace Engineering,PhD,Fall 2022,Accepted,,03-02-2022,1643817600,3.94,,,,International,11-04-2022,1649606400,2 conference publications. Relevant research experience. Lots of networking to meet professors/faculty
