,institution,major,degree,season,decisionfin,method,decdate,decdate_ts,gpa,grev,greq,greaw,status,date_add,date_add_ts,comment
0,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2022,Rejected,,11-03-2022,1646928000,,,,,International,11-03-2022,1646928000,
1,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2022,Wait listed,,,,,,,,International,10-03-2022,1646841600,
2,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2022,Rejected,,10-03-2022,1646841600,,,,,American,10-03-2022,1646841600,
3,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2022,Accepted,,07-02-2022,1644163200,3.97,,,,International,07-02-2022,1644163200,
4,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2022,Accepted,,04-02-2022,1643904000,3.89,161.0,169.0,,International,04-02-2022,1643904000,Received unofficial acceptance from POI.
5,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2022,Accepted,,31-01-2022,1643558400,3.75,167.0,170.0,5.0,American,31-01-2022,1643558400,Accepted with CSEM Fellowship!
6,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2022,Accepted,,31-01-2022,1643558400,,,,,American,31-01-2022,1643558400,"Email and attachment says recommended for admission, official letter to come in MyStatus portal soon."
7,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2021,Rejected,,12-03-2021,1615478400,3.97,,,,International,12-03-2021,1615478400,
8,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",MS,Fall 2021,Wait listed,,,,,,,,International,04-03-2021,1614787200,"Congratulations to those admitted! If you have received an admit and are not planning on attending, please reject the offer. Been stuck with only waitlists so far"
9,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",MS,Fall 2021,Wait listed,,,,,,,,,03-03-2021,1614700800,Please let them know if you don't plan on attending.
10,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2021,Accepted,,05-02-2021,1612454400,,,,,American,05-02-2021,1612454400,
11,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2020,Wait listed,,,,,,,,,06-03-2020,1583424000,"Those who have been admitted but will not attend, please decline the offer asap."
12,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2020,Rejected,,05-03-2020,1583337600,3.85,148.0,170.0,3.0,International,05-03-2020,1583337600,Mechanical Engineering background. One of my top options. Kinda expected...
13,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2020,Rejected,,05-03-2020,1583337600,,,,,International,05-03-2020,1583337600,
14,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2020,Wait listed,,,,,,,,,05-03-2020,1583337600,"Those who have been admitted and do not plan on attending, please decline asap."
15,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2020,Rejected,,04-03-2020,1583251200,,,,,International,05-03-2020,1583337600,
16,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2020,Rejected,,04-03-2020,1583251200,,157.0,169.0,4.0,International,05-03-2020,1583337600,Notified by a nice email from the program director. Expected result nevertheless.
17,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2020,Rejected,,04-03-2020,1583251200,,,,,,04-03-2020,1583251200,"Received an email of my rejection, and the MyStatus portal was updated as well. Disappointed as this was my top choice and I believe I am/was well qualified. Life goes on."
18,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2020,Rejected,,04-03-2020,1583251200,,,,,American,04-03-2020,1583251200,
19,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2020,Accepted,,21-02-2020,1582214400,3.64,155.0,154.0,5.0,American,02-03-2020,1583078400,"Notice directly from POI, no funding yet but POI is optimistic he'll find a source. MSc in Mathematics, grad GPA 3.9."
20,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2020,Accepted,,12-02-2020,1581436800,,,,,American,28-02-2020,1582819200,Accepted with full funding without interview. Visit day for accepted students is next week
21,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2020,Other,Other,,,,,,,International,28-02-2020,1582819200,Has anyone heard back from PhD program? Interviews? acceptance/rejection?
22,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",MS,Fall 2020,Accepted,,14-02-2020,1581609600,3.83,155.0,163.0,,American,14-02-2020,1581609600,"Undergrad from same institution. Did a lot of research with ICES affiliated faculty (4 years of research experience, 2.5 years relevant to computational science)."
23,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2020,Accepted,,17-01-2020,1579190400,4.0,166.0,168.0,5.0,American,17-01-2020,1579190400,"Super excited! Accepted with a generous funding offer and a campus visit in early March. Received an email with all the info. Checked my portal after, it was updated as well."
24,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM) (ICES)",MS,Fall 2019,Accepted,,06-03-2019,1551801600,3.8,153.0,167.0,4.0,International,06-03-2019,1551801600,Happy that I got this program. But I was wondering what kind of job this degree will land me after graduation. Is it possible to get into data science/machine learning engineer with this degree. Can anyone provide me with some information about the job opportunities? I would really appreciate some guidance.
25,University Of Texas At Austin,Computational Sciences,PhD,Fall 2019,Rejected,,05-03-2019,1551715200,,150.0,166.0,3.0,International,05-03-2019,1551715200,
26,University Of Texas At Austin,Computational Sciences,PhD,Fall 2019,Accepted,,05-03-2019,1551715200,3.98,163.0,170.0,4.5,International,05-03-2019,1551715200,
27,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2019,Rejected,,05-03-2019,1551715200,,,,,,05-03-2019,1551715200,
28,University Of Texas At Austin,"Computational Sciences, Engineering And Mathematics (CSEM)",PhD,Fall 2019,Accepted,,01-03-2019,1551369600,,161.0,164.0,4.0,International,01-03-2019,1551369600,"Received 1-year Peter Oâ€™Donnell Graduate Fellowship, more details next week. The mail arrived at 8.40am Texas time, new personal record. Still have to realize it."
