,institution,major,degree,season,decisionfin,method,decdate,decdate_ts,gpa,grev,greq,greaw,status,date_add,date_add_ts,comment
0,SUNY Buffalo,Mechanical Engineering,PhD,Fall 2023,Accepted,,25-01-2023,1674576000,,,,,International,25-01-2023,1674576000,
1,Georgia Institute Of Technology,Mechanical Engineering,PhD,Fall 2023,Accepted,,25-01-2023,1674576000,,,,,American,25-01-2023,1674576000,No funding info.
2,Massachusetts Institute Of Technology,Mechanical Engineering,PhD,Fall 2023,Interview,,,,,,,,American,25-01-2023,1674576000,
3,Penn State University,Mechanical Engineering,PhD,Fall 2023,Accepted,,25-01-2023,1674576000,,,,,Other,25-01-2023,1674576000,
4,Penn State University,Mechanical Engineering,PhD,Spring 2023,Accepted,,24-01-2023,1674489600,,,,,American,24-01-2023,1674489600,Just got an email with an acceptance letter and offer.
5,Virginia Tech,Mechanical Engineering,PhD,Fall 2023,Accepted,,24-01-2023,1674489600,,,,,International,24-01-2023,1674489600,No interview. No funding info.
6,Georgia Institute Of Technology,Mechanical Engineering,PhD,Fall 2023,Wait listed,,,,3.72,,,,International,24-01-2023,1674489600,Fmlfmlfmlfmlfmlfml
7,University Of Texas At Austin,Mechanical Engineering,PhD,Fall 2023,Accepted,,24-01-2023,1674489600,,,,,International,24-01-2023,1674489600,Email to check portal! But I am not sure if I am admitted into the PhD program or the MSE program since it is not indicated in the email.
8,University Of Texas At Austin,Mechanical Engineering,PhD,Fall 2023,Accepted,,24-01-2023,1674489600,,,,,American,24-01-2023,1674489600,Email to check portal!
9,University of Michigan (Ann Arbor),Mechanical Engineering,PhD,Fall 2023,Wait listed,,,,,,,,International,24-01-2023,1674489600,Ignore status!!! To The Person Below: was it a formal interview or an informal chat? Also what's your specialization?
10,University Of Texas At Austin,Mechanical Engineering,PhD,Fall 2023,Accepted,,24-01-2023,1674489600,3.65,,,,International,24-01-2023,1674489600,"UG at Udub (ME), MS GPA: 3.99 at U of Michigan (Aero)
One 2nd Authored pub, more than 10 patents from work, 2.5 years of research, 3 years of work exp in Advanced Research Team as a R&D specilist, specialized in CFD. Applied for computational combustion."
11,Duke University,Mechanical Engineering,PhD,Fall 2023,Accepted,,23-01-2023,1674403200,3.92,,,,International,23-01-2023,1674403200,
12,University of Michigan (Ann Arbor),Mechanical Engineering,PhD,Fall 2023,Interview,,,,,,,,International,23-01-2023,1674403200,
13,Brown University,Mechanical Engineering,PhD,Fall 2023,Interview,,,,,,,,International,23-01-2023,1674403200,The PhD programme is actually Mechanics of Solids.
14,Carnegie Mellon University,Mechanical Engineering,PhD,Fall 2023,Interview,,,,,,,,International,23-01-2023,1674403200,Please ignore this result. Has anyone been interviewed by CMU MechE yet?
15,University Of Connecticut,Mechanical Engineering,PhD,Fall 2023,Interview,,,,2.6,,,,International,22-01-2023,1674316800,"From shop worker to team captain at Baja SAE (~5 years), founded and led a fuel cell Formula SAE hybrid team (2 years), founded and led AIChE student chapter (3 years), 2 undergraduates researches, multiple national and international conference presentations and 1 paper published."
16,Purdue University - West Lafayette,Mechanical Engineering,PhD,Fall 2023,Accepted,,18-01-2023,1673971200,,,,,International,22-01-2023,1674316800,
17,Northwestern University,Mechanical Engineering,PhD,Fall 2023,Interview,,,,3.78,,,,International,20-01-2023,1674144000,Had an interview with Kevin Lynch
18,Princeton University,Mechanical Engineering,PhD,Fall 2023,Interview,,,,3.92,,,,International,19-01-2023,1674057600,
19,University Of Minnesota,Mechanical Engineering,PhD,Fall 2023,Accepted,,13-01-2023,1673539200,,,,,International,19-01-2023,1674057600,UG in physics. Applied to their Plasma Physics Lab
20,Georgia Institute Of Technology,Mechanical Engineering,PhD,Fall 2023,Rejected,,18-01-2023,1673971200,3.19,,,,International,18-01-2023,1673971200,I wanna cry
21,Purdue University,Mechanical Engineering,PhD,Fall 2023,Interview,,,,3.78,,,,International,17-01-2023,1673884800,"Had a chat with a faculty via Zoom. I sent an email first, so this is not something formal I guess."
22,UC San Diego,Mechanical Aerospace Engineering (MAE),PhD,Fall 2023,Interview,,,,3.96,163.0,166.0,4.5,American,17-01-2023,1673884800,
23,Boston University,Mechanical Engineering,PhD,Fall 2023,Interview,,,,,,,,American,17-01-2023,1673884800,I got an email today from PI mentioned in SOP for an interview
24,Georgia Institute Of Technology,Mechanical Engineering,PhD,Fall 2023,Wait listed,,,,3.88,162.0,166.0,4.5,International,17-01-2023,1673884800,"GPA is for Masters degree from a top 3 university in the US. Was told that I have a strong file and it has been forwarded to the faculty. I am waitlisted until I can find faculty to work with, and then they will proceed with my admission."
25,Purdue University - West Lafayette,Mechanical Engineering,PhD,Fall 2023,Interview,,,,,,,,International,16-01-2023,1673798400,
26,Stanford University,Mechanical Engineering,PhD,Fall 2023,Interview,,,,,,,,International,16-01-2023,1673798400,
27,Ohio State University,Mechanical Engineering,PhD,Fall 2023,Accepted,,14-12-2023,1702483200,,,,,International,16-01-2023,1673798400,Had talked to a professor before applying. He nominated me for the fellowship as well.
28,Princeton University,Mechanical Engineering,PhD,Fall 2023,Interview,,,,,,,,American,15-01-2023,1673712000,
29,Northwestern University,Mechanical Engineering,PhD,Fall 2023,Interview,,,,,,,,American,15-01-2023,1673712000,
30,"University Of California, Berkeley",Mechanical Engineering,PhD,Fall 2023,Interview,,,,3.62,,,,American,14-01-2023,1673625600,Invited to preview day late last night. Iâ€™m an undergrad at Berkeley and I have known my PI for over a year from classes and research
31,University Of Minnesota,Mechanical Engineering,PhD,Fall 2023,Accepted,,13-01-2023,1673539200,3.57,161.0,169.0,3.0,International,14-01-2023,1673625600,
32,"University Of California, San Diego",Mechanical Engineering,PhD,Fall 2023,Interview,,,,3.56,,,,International,14-01-2023,1673625600,
33,Ohio State University,Mechanical Engineering,PhD,Fall 2023,Accepted,,12-01-2023,1673452800,3.56,154.0,167.0,4.0,International,14-01-2023,1673625600,Had interviewed with the professor previously. He nominated me for their fellowship programme too.
34,Stanford University,Mechanical Engineering,PhD,Fall 2023,Interview,,,,3.91,,,,International,14-01-2023,1673625600,"Some professor (not mentioned in application) emailed, scheduled interview for next week."
35,University Of Minnesota,Mechanical Engineering,PhD,Fall 2023,Accepted,,13-01-2023,1673539200,3.67,,,,International,13-01-2023,1673539200,1 pub under review
36,Yale University,Mechanical Engineering And Materials Science,PhD,Fall 2023,Interview,,,,,,,,International,13-01-2023,1673539200,
37,University Of Minnesota,Mechanical Engineering,PhD,Fall 2023,Accepted,,13-01-2023,1673539200,3.82,,,,International,13-01-2023,1673539200,4 publications (first author). Did not submit GRE.
38,Columbia University,Mechanical Engineering,PhD,Fall 2023,Interview,,,,4.1,,,,American,13-01-2023,1673539200,
39,"University of Colorado, Boulder",Mechanical Engineering,PhD,Fall 2023,Interview,,,,3.8,,,,International,12-01-2023,1673452800,
