,institution,major,degree,season,decisionfin,method,decdate,decdate_ts,gpa,grev,greq,greaw,status,date_add,date_add_ts,comment
0,Stanford University,Mechanical Engineering,PhD,Fall 2022,Rejected,,01-04-2022,1648742400,,,,,International,03-04-2022,1648915200,
1,Stanford University,Mechanical Engineering,PhD,Fall 2022,Rejected,,02-04-2022,1648828800,,,,,International,02-04-2022,1648828800,Finally got the dreaded status update! Heartbreaking to get rejected :(. 6a/5r/1p (which also is most likely a reject)
2,Stanford University,Mechanical Engineering,PhD,Fall 2022,Rejected,,01-04-2022,1648742400,,,,,International,01-04-2022,1648742400,
3,Stanford University,Mechanical Engineering,PhD,Fall 2022,Rejected,,01-04-2022,1648742400,3.0,154.0,166.0,4.0,International,01-04-2022,1648742400,"found PI that wanted to accept me, received a general rejection email"
4,Stanford University,Mechanical Engineering,PhD,Fall 2022,Accepted,,06-03-2022,1646496000,,,,,American,06-03-2022,1646496000,
5,Stanford University,Mechanical Engineering,PhD,Fall 2022,Accepted,,19-02-2022,1645200000,3.84,,,,American,21-02-2022,1645372800,
6,Stanford University,Mechanical Engineering,PhD,Fall 2022,Accepted,,18-02-2022,1645113600,4.0,,,,American,21-02-2022,1645372800,
7,Stanford University,Mechanical Engineering,PhD,Fall 2022,Accepted,,18-02-2022,1645113600,3.98,,,,International,20-02-2022,1645286400,3 interviews about 2 weeks ago. Decision through email. 1st-year departmental fellowship.
8,Stanford University,Mechanical Engineering,PhD,Fall 2022,Accepted,,19-02-2022,1645200000,3.85,,,,American,19-02-2022,1645200000,"after 3 interviews, got results via email! 1st year departmental fellowship"
9,Stanford University,Mechanical Engineering,PhD,Fall 2022,Accepted,,19-02-2022,1645200000,4.0,,,,International,19-02-2022,1645200000,
10,Stanford University,Mechanical Engineering,PhD,Fall 2022,Interview,,,,3.98,,,,International,01-02-2022,1643644800,
11,Stanford University,Mechanical Engineering,PhD,Fall 2022,Interview,,,,4.0,162.0,170.0,5.0,International,01-02-2022,1643644800,"Last night I received an email inviting me to the interview stage.
""We are delighted to inform you that you have been selected to interview for the PhD Program with the Department of Mechanical Engineering at Stanford University! Congratulations on your impressive record. We look forward to learning more about you.
All interviews for the Mechanical Engineering PhD program will be conducted via video conference between Tuesday, February 1 and Tuesday, February 8, 2021. You can expect to receive three emails from ME faculty members to set up your interviews."""
12,Stanford University,Mechanical Engineering,PhD,Fall 2022,Interview,,,,4.13,,,,International,01-02-2022,1643644800,
13,Stanford University,Mechanical Engineering,PhD,Fall 2022,Interview,,,,,,,,American,31-01-2022,1643558400,
14,Stanford University,Mechanical Engineering,PhD,Fall 2021,Rejected,,05-03-2021,1614873600,,,,,,20-03-2021,1616169600,Any Phd applicant who got admitted to the masters program at Stanford.
15,Stanford University,Mechanical Engineering,PhD,Fall 2021,Rejected,,05-03-2021,1614873600,,,,,International,16-03-2021,1615824000,Emm
16,Stanford University,Mechanical Engineering,PhD,Fall 2021,Interview,,,,,,,,American,11-03-2021,1615392000,"I was accepted but will decline due to a better advisor match elsewhere. For future applicants, here are some relevant statistics from the visit days (keep in mind this is from a COVID year, so that might affect future statistics):
- 48 / 506 admitted students (~9.5%)
- 15 / 48 international (2 from Canada)
- 13 / 48 have MS or equivalent (some obtained alongside the BS, some after)
- 85-90% of admitted students accept the offer historically

The undergraduate institutions of the incoming class are probably a lot more varied than people would think. If you're reading this in the future, good luck! I hope this was helpful."
17,Stanford University,Mechanical Engineering,PhD,Fall 2021,Rejected,,10-03-2021,1615305600,,,,,,10-03-2021,1615305600,"Thought I had a pretty good shot but I didn't get an interview. 1 conference paper, 3 years of relevant experience in multiple labs at 3 different universities, good connections to prospective labs"
18,Stanford University,Mechanical Engineering,PhD,Fall 2021,Rejected,,10-03-2021,1615305600,,,,,,10-03-2021,1615305600,"Thought I had a pretty good shot but I didn't get an interview. 1 conference paper, 3 years of relevant experience in multiple labs at 3 different universities, good connections to prospective labs"
